車屋,教育
同盟,敬遠
敬遠,主義
名,尻
尻,軽侮
一体,車屋
車屋,教師
主人,骨
車屋,猫
国,食い物
食い物,不自由
茶,畠
畠,己
家,教師
教師,車屋
箆,棒
棒,腹
肝,癪
癪,様子
様子,寒竹
寒竹,耳
車屋,黒
黒,知己
その後,黒
邂逅,車屋
車屋,相当
先,耳
耳,不徳
不徳,事件
事件,黒
黒,茶
茶畠,雑談
雑談,自慢
自慢,あと
あと,下
鼠,何匹
智識,黒
黒,発達
発達,腕力
腕力,勇気
勇気,黒
黒,比較
比較,覚悟
黒,鼻先
鼻先,髭
黒,自慢
自慢,丈
丈,気焔
気焔,感心
感心,咽喉
咽喉,謹聴
呼吸,場合
場合,己
己,弁護
弁護,形勢
形勢,愚か
愚か,手柄
手柄,話
話,茶
去年,大掃除
亭主,石灰
石灰,袋
袋,椽
椽,野郎
こん畜生,泥
泥,溝
ここ,去年
去年,臭気
臭気,前足
前足,鼻
鼻,頭
鼠,百年
鼠,名人
名人,鼠
鼠,色つや
黒,機嫌
機嫌,質問
質問,不思議
不思議,反対
反対,結果
鼠,みんな
うち,亭主
亭主,己
己,御蔭
御蔭,壱円
壱円,五十銭
五十銭,癖
癖,碌
人間,体
無学,黒
黒,理窟
理窟,容子
容子,背中
黒,子分
子分,鼠
鼠,御馳走
御馳走,猟
教師,家
家,猫
猫,教師
教師,主人
主人,水彩
水彩画,十二月
十二月,一日
一日,日記
放蕩,妻君
妻君,芸者
元来,放蕩
放蕩,家人
家人,大部分
大部分,放蕩
放蕩,資格
放蕩,家
家,自任
自任,連中
連中,放蕩
放蕩,資格
料理屋,酒
酒,待合
待合,通人
通人,一廉
一廉,水彩
水彩,画家
水彩画,愚昧
愚昧,通人
通人,山出し
山出し,野暮
野暮,遥か
芸者,妻君
妻君,教師
教師,口
口,愚劣
愚劣,自己
自己,水彩
水彩画,批評
批評,眼
主人,かく
中二日,十二月
十二月,四日
四日,日記
昨夜,水彩
水彩画,立派
立派,額
額,欄間
額,我
立派,独り
独り,眺め
眺め,夜
夜,眼
眼,元通り
元通り,下手
下手,朝日
主人,夢
夢,水彩
水彩,画家
水彩,画家
画家,夫子
夫子,通人
主人,水彩
水彩画,夢
夢,翌日
翌日,金縁
金縁,眼鏡
眼鏡,美学
美学,久し振り
久し振り,主人
主人,平気
忠告,写生
形,色
色,精細
精細,変化
西洋,写生
写生,主張
主張,結果
結果,発達
